Kategori|Skill|Micro Skill
Backend|Django|Django nedir ve avantajları
Backend|Django|Django kurulumu (virtualenv ile)
Backend|Django|Yeni proje başlatma (django-admin startproject)
Backend|Django|Yeni uygulama oluşturma (startapp)
Backend|Django|Proje ayarlarını yapılandırma (settings.py)
Backend|Django|URL yönlendirmeleri tanımlama (urls.py)
Backend|Django|Temel view oluşturma (HttpResponse)
Backend|Django|Template sistemi kullanımı (HTML entegrasyonu)
Backend|Django|Template inheritance (extends, block)
Backend|Django|Django template etiketleri (if, for)
Backend|Django|Static dosyalar (CSS, JS) yönetimi
Backend|Django|Media dosyalarının yüklenmesi ve servisi
Backend|Django|Model tanımı ve alanlar (CharField, DateField)
Backend|Django|Veri tabanı işlemleri (makemigrations, migrate)
Backend|Django|Admin panel özelleştirme
Backend|Django|Model kayıtlarını yönetme (create, update, delete)
Backend|Django|Django Shell kullanımı
Backend|Django|Form sınıfları ile form oluşturma
Backend|Django|Django form validasyonları
Backend|Django|Django Generic Views kullanımı
Backend|Django|Class-based views tanımı
Backend|Django|Django REST Framework kurulumu
Backend|Django|Serializer tanımı
Backend|Django|APIView, ModelViewSet kullanımı
Backend|Django|Authentication işlemleri (login, logout, permission)
Backend|Django|JWT Authentication ile kullanıcı giriş sistemi
Backend|Django|URL parametreleri ve route düzenleme
Backend|Django|Swagger veya Redoc ile API dokümantasyonu
Backend|Django|QuerySet filtreleme ve sıralama
Backend|Django|Pagination işlemleri (limit, offset)
Backend|Django|File upload işlemleri
Backend|Django|E-posta gönderme (send_mail, SMTP ayarları)
Backend|Django|Signal kullanımı (post_save, pre_delete)
Backend|Django|Middleware oluşturma ve kullanma
Backend|Django|Celery ile background task tanımlama
Backend|Django|Django Channels ile WebSocket uygulama
Backend|Django|TestCase sınıfı ile test yazma
Backend|Django|Deployment işlemleri (Gunicorn, Nginx, Heroku)
Backend|Django|Çevresel değişkenlerin yönetimi (env dosyası)
Backend|Django|Güvenlik ayarları (CSRF, CORS, XSS korumaları)
Backend|Django|Kullanıcı profili oluşturma ve ilişkilendirme
Backend|Express.js|Express nedir ve ne için kullanılır?
Backend|Express.js|express-generator ile proje başlatma
Backend|Express.js|express() ile uygulama başlatma
Backend|Express.js|Temel route tanımlama (app.get, app.post)
Backend|Express.js|Dinamik route parametreleri kullanma (req.params)
Backend|Express.js|Query string okuma (req.query)
Backend|Express.js|Body verilerini okuma (req.body)
Backend|Express.js|JSON body parse işlemi (express.json)
Backend|Express.js|URL encoded veri işleme (express.urlencoded)
Backend|Express.js|Middleware mantığını anlama
Backend|Express.js|Global ve lokal middleware tanımı
Backend|Express.js|Static dosyalar sunma (express.static)
Backend|Express.js|Router kullanımı (express.Router)
Backend|Express.js|Route'ları ayrı dosyalara ayırma
Backend|Express.js|Hata yönetimi middleware yazma
Backend|Express.js|404 sayfası oluşturma
Backend|Express.js|MVC mimarisine göre dosya yapısı oluşturma
Backend|Express.js|Template engine kullanımı (EJS, Pug)
Backend|Express.js|Cookie işleme (cookie-parser)
Backend|Express.js|Session yönetimi (express-session)
Backend|Express.js|JWT ile kimlik doğrulama entegrasyonu
Backend|Express.js|Rate limiting uygulama (express-rate-limit)
Backend|Express.js|Helmet ile güvenlik önlemleri
Backend|Express.js|CORS ayarları yapma (cors modülü)
Backend|Express.js|API versiyonlama
Backend|Express.js|Logger middleware yazma (morgan, custom logger)
Backend|Express.js|Çevresel değişkenlerle yapılandırma (dotenv)
Backend|Express.js|Asenkron route tanımlama (async/await)
Backend|Express.js|Postman ile test etme
Backend|Express.js|Jest veya Supertest ile endpoint testi
Backend|Express.js|MongoDB bağlantısı (mongoose ile)
Backend|Express.js|CRUD operasyonları gerçekleştirme
Backend|Express.js|Dosya yükleme (multer)
Backend|Express.js|Kullanıcı doğrulama sistemi oluşturma
Backend|Express.js|Mail gönderme (nodemailer)
Backend|Express.js|API dokümantasyonu (Swagger ile)
Backend|Express.js|Deployment (Render, Heroku, Vercel)
Backend|Express.js|Hata loglarını log dosyasına kaydetme
Backend|Express.js|Otomatik yeniden başlatma (nodemon)
Backend|Flask|Flask kurulumu ve pip ile yükleme
Backend|Flask|Basit uygulama oluşturma (hello world)
Backend|Flask|Flask app yapısı ve debug modu
Backend|Flask|Route tanımlama ve parametre kullanımı
Backend|Flask|GET, POST metodları ile istek işleme
Backend|Flask|Jinja2 template kullanımı
Backend|Flask|Template inheritance yapısı
Backend|Flask|Static dosya sunumu
Backend|Flask|Form veri alma (request.form)
Backend|Flask|Redirect ve URL oluşturma (redirect, url_for)
Backend|Flask|JSON response döndürme (jsonify)
Backend|Flask|Blueprints ile modüler yapı oluşturma
Backend|Flask|Middleware yazma (before_request, after_request)
Backend|Flask|Session yönetimi ve cookie işlemleri
Backend|Flask|Flask-WTF ile form validasyonu
Backend|Flask|Flask-Login ile kullanıcı girişi
Backend|Flask|Flask-Migrate ile veritabanı migrasyonu
Backend|Flask|SQLAlchemy ORM kullanımı
Backend|Flask|CRUD işlemleri gerçekleştirme
Backend|Flask|Flask-SQLAlchemy ile ilişkili modeller
Backend|Flask|Dosya yükleme (Flask-Uploads)
Backend|Flask|JWT Authentication entegrasyonu
Backend|Flask|RESTful API geliştirme
Backend|Flask|Flask-RESTful veya Flask-Restx kullanımı
Backend|Flask|API testleri (Postman, pytest)
Backend|Flask|Swagger ile API dökümantasyonu
Backend|Flask|Mail gönderimi (Flask-Mail)
Backend|Flask|CORS ayarları (Flask-CORS)
Backend|Flask|Uygulama konfigürasyonu (config.py)
Backend|Flask|Production için deployment (Gunicorn, Heroku)
Backend|Flask|Hata yakalama ve özel hata sayfaları
Backend|Flask|Logging sistemi kurma
Backend|Flask|Background task işlemleri (Celery ile)
Backend|Flask|WebSocket entegrasyonu (Flask-SocketIO)
Backend|GraphQL|GraphQL nedir ve REST'ten farkları
Backend|GraphQL|GraphQL sunucusu kurulumu (Apollo, Express)
Backend|GraphQL|Schema tanımlama (type, query, mutation)
Backend|GraphQL|Resolver fonksiyonlarının yazılması
Backend|GraphQL|Query yazımı ve çalıştırma
Backend|GraphQL|Mutation yazımı ve veri değiştirme
Backend|GraphQL|GraphiQL ve Apollo Studio kullanımı
Backend|GraphQL|Field ve nested query işlemleri
Backend|GraphQL|Alias ve fragments kullanımı
Backend|GraphQL|Input types ile veri gönderimi
Backend|GraphQL|Enum tanımlama ve kullanımı
Backend|GraphQL|Interface ve union types
Backend|GraphQL|Scalar types kullanımı
Backend|GraphQL|Otomatik schema dokümantasyonu
Backend|GraphQL|Hata yönetimi ve validasyon
Backend|GraphQL|Authorization işlemleri (context, JWT)
Backend|GraphQL|Pagination stratejileri (offset, cursor)
Backend|GraphQL|Filter ve search işlemleri
Backend|GraphQL|GraphQL subscription (gerçek zamanlı veri)
Backend|GraphQL|Apollo Client ile frontend bağlantısı
Backend|GraphQL|Caching stratejileri (InMemoryCache)
Backend|GraphQL|Lazy ve eager loading teknikleri
Backend|GraphQL|Batch resolver kullanımı (DataLoader)
Backend|GraphQL|REST API'den veri çekme (merge schemas)
Backend|GraphQL|Gateway yapısı oluşturma
Backend|GraphQL|Mikro servislerle entegre kullanım
Backend|GraphQL|GraphQL Codegen kullanımı
Backend|GraphQL|Test yazımı (Jest, Supertest, Apollo Test Client)
Backend|GraphQL|Monitoring ve logging (Apollo Tracing)
Backend|GraphQL|Deployment (Vercel, Heroku, AWS Lambda)
Backend|GraphQL|Versiyonlama stratejileri ve backward compatibility
Backend|GraphQL|Rate limiting ve güvenlik ayarları
Backend|GraphQL|Custom scalar types oluşturma
Backend|GraphQL|Directive kullanımı (deprecated, include, skip)
Backend|GraphQL|Query analizleri ve performans optimizasyonu
Backend|Node.js|Node.js nedir ve kullanım alanları
Backend|Node.js|Node kurulumu ve environment ayarları
Backend|Node.js|İlk Node.js uygulamasını yazma
Backend|Node.js|console.log ile çıktı alma
Backend|Node.js|Modül yapısını anlama (require, module.exports)
Backend|Node.js|Yerleşik modüller (fs, http, path, os)
Backend|Node.js|Dosya sistemi ile etkileşim (fs.readFile, writeFile)
Backend|Node.js|HTTP server oluşturma (http.createServer)
Backend|Node.js|Temel routing işlemleri
Backend|Node.js|npm ile paket yönetimi
Backend|Node.js|package.json dosyası oluşturma ve yönetimi
Backend|Node.js|Üçüncü parti modül yükleme (chalk, lodash, dotenv)
Backend|Node.js|Asenkron programlama kavramları
Backend|Node.js|Callback fonksiyonlar
Backend|Node.js|Promises kullanımı
Backend|Node.js|async/await yapısı
Backend|Node.js|try/catch ile hata yönetimi
Backend|Node.js|Environment değişkenleri ile çalışma (dotenv)
Backend|Node.js|Process objesi kullanımı
Backend|Node.js|__dirname ve __filename kullanımı
Backend|Node.js|JSON dosyaları ile veri okuma/yazma
Backend|Node.js|EventEmitter kullanımı
Backend|Node.js|Komut satırı argümanları ile çalışma
Backend|Node.js|Uygulama yapısının modüler hale getirilmesi
Backend|Node.js|Middleware kavramı (temel olarak)
Backend|Node.js|RESTful API'lere giriş (yalın Node.js ile)
Backend|Node.js|HTTP metotlarını yönetme (GET, POST, PUT, DELETE)
Backend|Node.js|Veri doğrulama ve filtreleme
Backend|Node.js|Basit logger fonksiyonu oluşturma
Backend|Node.js|Server'ı restart etmeden izlemek (nodemon kullanımı)
Backend|Node.js|Basit proje yapısı oluşturma (MVC öncesi yapı)
Backend|Node.js|Zamanlayıcılar ile çalışmak (setInterval, setTimeout)
Backend|Node.js|Try/catch-finally ile uygulama kararlılığı sağlama
Backend|Node.js|Debugging yöntemleri (console, VSCode debugger)
Backend|Node.js|Basit test yazımı (assert modülü)
Backend|Node.js|Uygulamanın loglarını kayıt altına alma
Backend|Node.js|Error-first callback pattern kullanımı
Backend|Node.js|Temel performans ölçümü
Backend|Node.js|Global object’ler (global, process, Buffer)
Backend|Node.js|Uygulamanın farklı ortamlarda (dev/prod) çalıştırılması
Backend|Spring Boot|Spring Boot nedir ve kullanım alanları
Backend|Spring Boot|Spring Boot kurulumu ve yapılandırma
Backend|Spring Boot|İlk Spring Boot projesi oluşturma (Spring Initializr)
Backend|Spring Boot|Proje bağımlılıklarını yönetme (Maven, Gradle)
Backend|Spring Boot|Application.properties ve YAML dosyaları
Backend|Spring Boot|Controller sınıfı oluşturma
Backend|Spring Boot|REST API endpoint tanımlama (GET, POST, PUT, DELETE)
Backend|Spring Boot|RequestMapping, GetMapping, PostMapping kullanımı
Backend|Spring Boot|DTO sınıfları oluşturma
Backend|Spring Boot|Service katmanı yazımı
Backend|Spring Boot|Repository interface oluşturma (CrudRepository, JpaRepository)
Backend|Spring Boot|JPA ile veritabanı işlemleri
Backend|Spring Boot|MySQL / PostgreSQL bağlantısı
Backend|Spring Boot|@Entity, @Id, @GeneratedValue anotasyonları
Backend|Spring Boot|H2 in-memory database kullanımı
Backend|Spring Boot|Veri doğrulama (Bean Validation, @Valid)
Backend|Spring Boot|Hata yönetimi (@ExceptionHandler, @ControllerAdvice)
Backend|Spring Boot|Swagger/OpenAPI entegrasyonu
Backend|Spring Boot|Lombok kullanımı (@Getter, @Setter, @Data)
Backend|Spring Boot|Spring Security ile kimlik doğrulama
Backend|Spring Boot|JWT ile kullanıcı doğrulama
Backend|Spring Boot|Spring Boot DevTools kullanımı
Backend|Spring Boot|Logging (SLF4J, Logback)
Backend|Spring Boot|Uygulama testleri (JUnit, Mockito)
Backend|Spring Boot|MockMvc ile REST API testleri
Backend|Spring Boot|Proje yapılandırması ve katmanlı mimari
Backend|Spring Boot|Environment değişkenleri ile çalışmak
Backend|Spring Boot|CORS yapılandırması
Backend|Spring Boot|Global exception handling
Backend|Spring Boot|Scheduler (Zamanlanmış görevler)
Backend|Spring Boot|WebSocket entegrasyonu
Backend|Spring Boot|Spring Boot Actuator ile uygulama izleme
Backend|Spring Boot|Uygulama konfigürasyonu profilleri (dev, prod)
Backend|Spring Boot|Dockerfile ile Spring Boot containerize etmek
Backend|Spring Boot|Deployment (Heroku, AWS, Render)
Backend|Spring Boot|Mail gönderimi (Spring Mail)
Backend|Spring Boot|Dosya yükleme ve indirme
Backend|Spring Boot|Role-based authorization yapısı
Backend|Spring Boot|API versiyonlama stratejileri
Backend|WebSocket|WebSocket nedir ve kullanım alanları
Backend|WebSocket|WebSocket protokolünün temel yapısı
Backend|WebSocket|WebSocket handshake işlemi
Backend|WebSocket|WebSocket client ve server arasındaki fark
